ID,Fire,Plot_ID,PlotID_noyr,Year,Species,OMU,DBH,TotHeight,LYHeight,LYGrowth,BudScars,Sprouts,Tally,Comments,fire_year,seed_estab_yr,post_fire_estab,max_ht,value,Visit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,6,NA,NA,NA,2002,2013,11,72,8,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,6,NA,NA,NA,2002,2013,11,72,8,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,6,NA,NA,NA,2002,2013,11,72,8,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,7,NA,NA,NA,2002,2012,10,72,1,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,8,NA,NA,NA,2002,2011,9,72,5,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,8,NA,NA,NA,2002,2011,9,72,5,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,8,NA,NA,NA,2002,2011,9,72,5,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,8,NA,NA,NA,2002,2011,9,72,5,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,8,NA,NA,NA,2002,2011,9,72,5,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,9,NA,NA,NA,2002,2010,8,72,3,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,9,NA,NA,NA,2002,2010,8,72,3,revisit
NA,SHR,SHR009,NA,2019,ABIES,NA,NA,NA,NA,NA,9,NA,NA,NA,2002,2010,8,72,3,revisit
NA,SHR,SHR009,NA,2019,PICO,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,116,2,revisit
NA,SHR,SHR009,NA,2019,PICO,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,116,2,revisit
NA,SHR,SHR009,NA,2019,PICO,NA,NA,NA,NA,NA,4,NA,NA,NA,2002,2015,13,116,2,revisit
NA,SHR,SHR009,NA,2019,PICO,NA,NA,NA,NA,NA,4,NA,NA,NA,2002,2015,13,116,2,revisit
NA,SHR,SHR009,NA,2019,PICO,NA,NA,NA,NA,NA,6,NA,NA,NA,2002,2013,11,116,1,revisit
NA,SHR,SHR009,NA,2019,PICO,NA,NA,NA,NA,NA,8,NA,NA,NA,2002,2011,9,116,2,revisit
NA,SHR,SHR009,NA,2019,PICO,NA,NA,NA,NA,NA,8,NA,NA,NA,2002,2011,9,116,2,revisit
NA,SHR,SHR010,NA,2019,ABCO,NA,NA,NA,NA,NA,6,NA,NA,NA,2002,2013,11,48,1,revisit
NA,SHR,SHR010,NA,2019,ABCO,NA,NA,NA,NA,NA,12,NA,NA,NA,2002,2007,5,48,1,revisit
NA,SHR,SHR010,NA,2019,PIPJ,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,28,2,revisit
NA,SHR,SHR010,NA,2019,PIPJ,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,28,2,revisit
NA,SHR,SHR010,NA,2019,PIPJ,NA,NA,NA,NA,NA,6,NA,NA,NA,2002,2013,11,28,1,revisit
NA,SHR,SHR012,NA,2019,PIPJ,NA,NA,NA,NA,NA,1,NA,NA,NA,2002,2018,16,9,3,revisit
NA,SHR,SHR012,NA,2019,PIPJ,NA,NA,NA,NA,NA,1,NA,NA,NA,2002,2018,16,9,3,revisit
NA,SHR,SHR012,NA,2019,PIPJ,NA,NA,NA,NA,NA,1,NA,NA,NA,2002,2018,16,9,3,revisit
NA,SHR,SHR012,NA,2019,PIPJ,NA,NA,NA,NA,NA,2,NA,NA,NA,2002,2017,15,9,1,revisit
NA,SHR,SHR012,NA,2019,ABCO,NA,NA,NA,NA,NA,12,NA,NA,NA,2002,2007,5,62,1,revisit
NA,SHR,SHR014,NA,2019,ABIES,NA,NA,NA,NA,NA,0,NA,NA,NA,2002,2019,17,47,1,revisit
NA,SHR,SHR014,NA,2019,ABIES,NA,NA,NA,NA,NA,12,NA,NA,NA,2002,2007,5,47,1,revisit
NA,GON,GON002,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,GON,GON006,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,GON,GON007,NA,2019,PIPJ,NA,NA,NA,NA,NA,11,NA,NA,NA,2002,2008,6,NA,NA,revisit
NA,GON,GON019,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,GON,GON020,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,GON,GON022,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,GON,GON026,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,GON,GON027,NA,2019,PIPJ,NA,NA,NA,NA,NA,9,NA,NA,NA,2002,2010,8,NA,NA,revisit
NA,GON,GON040,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,GON,GON041,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,GON,GON043,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,SHR,SHR001,NA,2019,PIPJ,NA,NA,NA,NA,NA,10,NA,NA,NA,2002,2009,7,NA,NA,revisit
NA,SHR,SHR001,NA,2019,PIPJ,NA,NA,NA,NA,NA,10,NA,NA,NA,2002,2009,7,NA,NA,revisit
NA,SHR,SHR002,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,SHR,SHR003,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,SHR,SHR004,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,SHR,SHR005,NA,2019,PIPJ,NA,NA,NA,NA,NA,12,NA,NA,NA,2002,2007,5,NA,NA,revisit
NA,SHR,SHR008,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,SHR,SHR009,NA,2019,PICO,NA,NA,NA,NA,NA,11,NA,NA,NA,2002,2008,6,NA,NA,revisit
NA,SHR,SHR009,NA,2019,PICO,NA,NA,NA,NA,NA,13,NA,NA,NA,2002,2006,4,NA,NA,revisit
NA,SHR,SHR010,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,SHR,SHR012,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,SHR,SHR014,NA,2019,NONE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,revisit
NA,SIM,SIM001,NA,2016,LIDE,NA,NA,NA,NA,NA,2,NA,NA,NA,2004,2014,10,100,1,revisit
NA,SIM,SIM001,NA,2016,LIDE,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,100,1,revisit
NA,SIM,SIM001,NA,2016,LIDE,NA,NA,NA,NA,NA,4,NA,NA,NA,2004,2012,8,100,2,revisit
NA,SIM,SIM001,NA,2016,LIDE,NA,NA,NA,NA,NA,4,NA,NA,NA,2004,2012,8,100,2,revisit
NA,SIM,SIM001,NA,2016,LIDE,NA,NA,NA,NA,NA,6,NA,NA,NA,2004,2010,6,100,1,revisit
NA,SIM,SIM001,NA,2016,LIDE,NA,NA,NA,NA,NA,7,NA,NA,NA,2004,2009,5,100,1,revisit
NA,SIM,SIM001,NA,2016,LIDE,NA,NA,NA,NA,NA,8,NA,NA,NA,2004,2008,4,100,1,revisit
NA,SIM,SIM001,NA,2016,LIDE,NA,NA,NA,NA,NA,9,NA,NA,NA,2004,2007,3,100,2,revisit
NA,SIM,SIM001,NA,2016,LIDE,NA,NA,NA,NA,NA,9,NA,NA,NA,2004,2007,3,100,2,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,1,NA,NA,NA,2004,2015,11,100,1,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,100,3,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,100,3,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,100,3,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,4,NA,NA,NA,2004,2012,8,100,4,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,4,NA,NA,NA,2004,2012,8,100,4,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,4,NA,NA,NA,2004,2012,8,100,4,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,4,NA,NA,NA,2004,2012,8,100,4,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,100,7,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,100,7,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,100,7,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,100,7,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,100,7,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,100,7,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,100,7,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,6,NA,NA,NA,2004,2010,6,100,3,revisit
